UserID,dictator,ultimatum_1,ultimatum_2,trust_1,trust_3,PG,bomb
264119,,,,,,8,
264120,,,,,,12,
264121,,,,,,13,
264122,,,,,,18,
264123,,,,,,12,
264124,,,,,,20,
264125,,,,,,10,
264126,,,,,,15,
526273,,,,,,0,
264127,,,,,,8,
264128,,,,,,14,
264129,,,,,,12,
133061,1.0,,,100.0,,10,
264134,,,,,,0,
264135,,,,,,10,
264137,,,,,,15,
264138,,,,19.0,,,
526282,,,,,,7,
395212,,,,,,,
264140,,,,,,,
264143,,,,,,,31
264144,,,,,,,12
264145,,,,,,,
264149,,1,1,0.0,,0,
526294,,,,,,8,
264151,,51,49,10.0,,7,
133080,,,,,,,
526295,,,,,,10,
526296,,,,,,12,
526297,,,,,,12,
526298,,,,,,9,
526299,,,,,,12,
133086,1.0,,,50.0,0,20,
526300,,,,,,13,
526301,,,,,,9,
526302,,,,,,3,
526303,,,,,,12,
264163,,,,,,10,
526304,,,,,,20,
526306,,,,,,13,
526307,,,,,,15,
133095,,60,35,,,,
526308,,,,,,10,
526309,,,,,,,
264172,,,,,,10,
264174,,,,,,8,
395247,,20,10,100.0,,,50
133111,48.0,,,,,,
133123,20.0,,,,,,
526343,,,,,,,55
526344,,,,,,,70
526345,,,,,,,49
526346,,,,,,,53
395275,36.0,45,40,40.0,,,93
264203,,,,26.0,,,
526347,,,,,,,52
526348,,,,,,,36
526349,,,,,,,71
526350,,,,,,,43
264209,,,,0.0,,,
526351,,,,,,,93
526352,,,,,,,52
264212,,49,1,9.0,,0,
526353,,,,,,,50
264214,,,,15.0,,,
526354,,,,,,,56
264216,,,,,,,24
526355,,,,,,,98
526356,,,,,,,68
264219,,,,,,,21
526357,,,,,,,83
395293,35.0,60,40,,,,
264221,,,,,,,46
264222,,,,,,,20
264223,,,,,,,30
264224,,,,,,,50
526361,,,,,,,41
264227,,,,,,,77
526364,,,,,,,16
526365,,,,,,,45
526366,,,,,,,69
264236,,,,,,,71
264237,,,,,,,41
133164,,,,,,,33
395316,,,,,,,
133179,,,,,,,
395324,,,,20.0,,11,87
264253,,,,48.0,0,,
395330,,,,,,6,
